client,dim,rollup,item,share_model,share_spend,roas_index,proxy_ratio,csl_dev,vertical,tipo
hypera_eletromidia,Ambiente,vertical,transportes,0.16714428913868556,0.26647374554990005,0.6272448671960669,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,vertical,__outros__ambiente,0.047958372137341956,0.012995141829508684,3.6904847031711965,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,tipo,outdoor,0.5946868832632736,0.604857888142306,0.983184471793415,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,tipo,indoor,0.35735474459938443,0.3821469700281852,0.9351238466525792,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,tipo,__outros__ambiente,0.047958372137341956,0.01299514182950868,3.690484703171198,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Praca,estado,sao-paulo,0.780275304591349,0.8070340925144759,0.96684305140102,0.9878609088495057,0.026758787923126914,,
hypera_eletromidia,Praca,estado,rio-de-janeiro,0.21972469540865103,0.19296590748552417,1.138671065121357,0.9878609088495057,0.026758787923126914,,
hypera_eletromidia,Praca,praca,sao-paulo,0.780275304591349,0.8070340925144759,0.96684305140102,0.9878609088495057,0.026758787923126914,,
hypera_eletromidia,Praca,praca,rio-de-janeiro,0.21972469540865103,0.19296590748552417,1.138671065121357,0.9878609088495057,0.026758787923126914,,
hypera_eletromidia,Modelo de Planejamento,raw,nao-programatica,0.8714724249760896,0.8906603475701295,0.97845652088769,0.9358611548979263,0.019187922594039897,,
hypera_eletromidia,Modelo de Planejamento,raw,programatica,0.12852757502391038,0.10933965242987052,1.1754891493399142,0.9358611548979263,0.019187922594039897,,
opella_eletromidia,Ambiente,grupo,mobiliarios-urbanos,0.32926036567268463,0.3733904215095327,0.8818125658970032,1.013670948210003,0.18450507250271955,ruas,outdoor
